Condition,MRR@10,Rel_Diff_vs_Raw,Grouped_95_CI,Gap_Recovery_Pct
1. English Oracle (Upper Bound),0.6517,N/A,N/A,100.0%
2. Hindi Raw Baseline (R0),0.3002,+0.0%,"[-0.015, +0.015]",0.0%
3. Fair BM25 (Hindi Query),0.3094,+3.0%,"[-0.138, -0.094]",-22.7%
4. Hindi + English Concepts (Ablation),0.4537,+51.1%,"[+0.210, +0.274]",47.2%
5. Hindi + Hindi Concepts (Hindi Semantics),0.4375,+45.7%,"[+0.252, +0.326]",56.4%
6. Hindi + Bilingual Concepts (R5 Full),0.6467,+115.4%,"[+0.312, +0.381]",98.6%
7. Shuffled Concepts (Null Control),0.2805,-6.6%,"[-0.038, -0.001]",-3.7%
